,cash
1780,235.0
1781,220.0
1782,210.0
1783,210.0
1784,170.0
1785,135.0
1786,105.0
1787,95.0
1788,95.0
1789,95.0
1790,55.0
1791,55.0
1792,35.0
1793,15.0
1794,15.0
1795,200.0
1796,190.0
1797,190.0
1798,190.0
1799,190.0
1800,180.0
1801,170.0
1802,150.0
1803,235.0
1804,225.0
1805,215.0
1806,195.0
1807,345.0
1808,330.0
1809,320.0
1810,300.0
1811,430.0
1812,420.0
1813,420.0
1814,400.0
1815,505.0
1816,495.0
1817,485.0
1818,465.0
1819,600.0
1820,590.0
1821,570.0
1822,550.0
1823,550.0
1824,530.0
1825,530.0
1826,510.0
1827,490.0
1828,665.0
1829,645.0
1830,645.0
1831,625.0
1832,605.0
1833,585.0
1834,575.0
1835,555.0
1836,570.0
1837,550.0
1838,540.0
1839,540.0
1840,520.0
1841,490.0
1842,480.0
1843,480.0
1844,460.0
1845,440.0
1846,445.0
1847,430.0
1848,420.0
1849,420.0
1850,400.0
1851,560.0
1852,540.0
1853,540.0
1854,540.0
1855,567.5
1856,547.5
1857,547.5
1858,527.5
1859,527.5
1860,507.5
1861,507.5
1862,507.5
1863,562.5
1864,542.5
1865,542.5
1866,522.5
1867,522.5
1868,502.5
1869,502.5
1870,482.5
1871,617.5
1872,597.5
1873,597.5
1874,597.5
1875,635.0
1876,625.0
1877,625.0
1878,625.0
1879,620.0
1880,605.0
1881,605.0
1882,585.0
1883,585.0
1884,575.0
1885,575.0
1886,555.0
1887,515.0
1888,475.0
1889,455.0
1890,455.0
1891,455.0
1892,525.0
1893,505.0
1894,505.0
1895,505.0
1896,505.0
1897,495.0
1898,495.0
1899,475.0
1900,455.0
1901,435.0
1902,425.0
1903,415.0
1904,395.0
1905,395.0
1906,380.0
1907,380.0
1908,360.0
1909,360.0
1910,340.0
1911,330.0
1912,310.0
1913,415.0
1914,190.0
1915,180.0
1916,170.0
1917,150.0
1918,345.0
1919,340.0
1920,330.0
1921,310.0
1922,310.0
1923,300.0
1924,300.0
1925,290.0
1926,290.0
1927,290.0
1928,250.0
1929,250.0
1930,265.0
1931,255.0
1932,255.0
1933,255.0
1934,245.0
1935,245.0
1936,205.0
1937,205.0
1938,195.0
1939,195.0
1940,195.0
1941,195.0
1942,185.0
1943,185.0
1944,175.0
1945,175.0
1946,155.0
1947,155.0
1948,145.0
1949,145.0
1950,145.0
